작업 ID,대상 화면,부서,핵심 카테고리,현재 문제점,구체적 개선안,예상 기대효과,작업 상태,관련 코드 파일
SCR-01-01,홈 & 로비 (HomeView),디자인,사용성,"첫 진입 시 시즌 공지 모달, 튜토리얼 툴팁, 오토배틀 타이머 등 다중 오버레이가 중첩되어 모바일 100dvh 화면에서 시각적 피로도 및 엄지손가락 터치 동선 방해.","모바일 뷰포트 기준 하단 Thumb Zone에 플로팅 '3초 즉시 배틀(Play Now)' 원터치 액션 버튼(FAB, 48px 이상) 고정 배치 및 모달 레이어 순차 노출 처리.",신규 유저 첫 판 진입률(FTUE 전환율) 28% 상승 및 모바일 오터치율 40% 감소.,작업대기,"src/views/HomeView.tsx, src/components/HomeHeader.tsx"
SCR-01-02,홈 & 로비 (HomeView),기획,과금전환,"홈 화면에 무료 코인 지급 안내만 존재하고, 신규 유저 유입 시 초기 과금을 유도하는 매력적인 소액 첫 결제 상품 노출 부재.","홈 화면 상단에 '첫 충전 한정 1,000원 스타터 패키지 (SSR 확정 팩 + 3,000 SNS 코인 + AP 물약)' 한정 배너 및 원터치 다이렉트 결제 모달 연동.",신규 가입 유저 D+1 과금 전환율(PU Ratio) 4.2% 달성 및 초기 ARPU 증대.,작업대기,"src/views/HomeView.tsx, src/views/ShopView.tsx"
SCR-01-03,홈 & 로비 (HomeView),개발,재미/도파민,로비 중앙 대표 팩션 카드 5장이 정적이라 시각적 박진감과 초기 상호작용성 부족.,"로비 카드 터치/호버 시 RAF 기반 3D 틸트(Tilt) 반사광 효과, 팩션 고유 SFX 재생, 홀로그램 포일 이펙트를 적용하여 즉각적인 도파민 피드백 제공.",로비 내 카드 터치 상호작용 65% 증가 및 초기 3분 리텐션 22% 향상.,작업대기,"src/views/HomeView.tsx, src/lib/sound.ts"
SCR-02-01,배틀 아레나 (PlayGameView),개발,재미/도파민,"연쇄 뒤집기 성공 시 사운드가 단조로워 역전의 쾌감이 반감되고, 9번째 턴 역전 승리 시 임팩트 있는 피니시 연출 부재.","플립 연쇄 수에 따라 Web Audio 피치가 반음씩 상승하는 가속 SFX, Web Vibration 햅틱 진동, 9번째 턴 역전 승리 시 'COMEBACK FINISHER' 슬로우 줌인 및 화면 흔들림(Screen Shake) 효과 연동.",전투 조작 몰입도 35% 증대 및 유저 1일 평균 배틀 플레이 횟수 20% 상승.,작업대기,"src/views/PlayGameView.tsx, src/lib/BattleFXEngine.ts, src/lib/sound.ts"
SCR-02-02,배틀 아레나 (PlayGameView),디자인,사용성,모바일 한 손 플레이 시 손패 카드 선택 후 3x3 보드 빈칸에 착수할 때 뒤집을 수 있는 상대 카드 및 예상 뒤집기 수가 시각적으로 예고되지 않아 전략 오판 및 오터치 빈발.,핸드 카드 탭 시 3x3 타일 빈칸에 44px 펄스 하이라이트를 표시하고 착수 시 뒤집을 수 있는 카드 위에 '+N FLIP' 예상 뱃지를 실시간 오버레이하여 원터치 조작 편의성 극대화.,모바일 보드 오조작률 45% 감소 및 신규 유저의 3분 룰 습득 시간 단축.,작업대기,"src/views/PlayGameView.tsx, src/components/BattleBoard.tsx"
SCR-02-03,배틀 아레나 (PlayGameView),기획,과금전환,"1장 차이(4:5) 아쉬운 패배 시 단순 패배 화면만 표시되어 유저 좌절 이탈이 발생하고, 즉각적인 재도전 및 소액 과금 전환 동선 부재.",1장 차이 패배 판정 시 '리벤지 찬스' 팝업을 트리거하여 500원 초특가 '복수전 버프팩 (AP 완충 + 다음 판 전 속성 +1 영약)' 다이렉트 결제 및 1-클릭 즉시 재대결 버튼 제공.,패배 직후 이탈률(Drop-off) 30% 방어 및 소액 결제 전환율 5.8% 달성.,작업대기,"src/views/PlayGameView.tsx, src/components/BattleResultModal.tsx"
SCR-03-01,마이덱 & 카드 관리 (MyDeckView),디자인,사용성,"모바일 웹에서 5장 덱 슬롯과 인벤토리 간 드래그 앤 드롭 조작 시 화면 스크롤과 제스처 충돌이 발생하고, 카드 교체가 번거로움.","모바일 100dvh 특화 '원탭 장착/교체(Quick Tap Swap)' UX 적용, 상단 속성/등급별 원핸드 칩 필터 바 및 44px 이상 터치 타깃 보장, 5장 '원클릭 전투력 최강 덱 자동 편성' 기능 추가.",모바일 덱 편성 소요 시간 60% 단축 및 조작 편의성 만족도 대폭 개선.,작업대기,"src/views/MyDeckView.tsx, src/components/DeckManager.tsx"
SCR-03-02,마이덱 & 카드 관리 (MyDeckView),개발,재미/도파민,"카드 합성/레벨업 시 단순 수치만 변경되어 육성의 쾌감이 미미하고, 덱 5장 간의 속성/팩션 시너지 체감이 부족함.","카드 강화 성공 시 골드 파티클 버스트 + 레벨업 팡파르 SFX + 총전투력 롤링 카운터 연출 추가, 덱 편성 시 동일 속성 3장 이상 장착 시 발동되는 '팩션 시너지 오라(Aura Glow)' 비주얼 이펙트 연동.",카드 육성 시도 횟수 45% 증가 및 덱 편성 몰입도 향상.,작업대기,"src/views/MyDeckView.tsx, src/components/CardUpgradeModal.tsx, src/lib/sound.ts"
SCR-03-03,마이덱 & 카드 관리 (MyDeckView),기획,과금전환,카드 한계돌파 또는 합성 재료가 부족할 때 상점으로 나가는 번거로운 동선 때문에 육성 흐름이 끊기고 결제 전환 기회 손실.,재료 부족 시 강화 버튼 위치에 '부족한 재료 즉시 보충 팩(990원 한정 패키지)' 1-Tap 인앱 결제 팝업 다이렉트 트리거 연동.,덱 관리 화면에서의 즉시 결제 전환율 3.8% 발생 및 재화 소진율 가속.,작업대기,"src/views/MyDeckView.tsx, src/views/ShopView.tsx"
SCR-04-01,상점 & 가챠 (ShopView),개발,재미/도파민,"팩 개봉 연출이 밋밋하고 카드가 일괄 팝업되어 가챠 특유의 기대감과 도파민 자극이 약하며, 스킵 기능이 불편함.","팩 스와이프 개봉 인터랙션 + 등급별(SR 보라, SSR 무지개) 팩 빛 번쩍임 예고 연출 + Web Vibration 햅틱 + 카드 1장씩 스와이프 오픈(Flip to Reveal) 연출 적용 및 0ms 레이턴시 원터치 '전체 즉시 스킵(Fast Skip)' 버튼 구현.",가챠 연출 몰입도 50% 향상 및 뽑기 재시도율 25% 증가.,작업대기,"src/views/ShopView.tsx, src/components/GachaAnimation.tsx, src/lib/sound.ts"
