화면명(Screen),기능명(Feature),세부 기능 명세(Details),프롬프트 재구성 팁(Prompting Tips)
"HomeView (메인 로비)","네비게이션 및 메뉴","상점, 전투, 덱 구성, 설정 등 주요 화면으로 진입할 수 있는 메인 허브 UI","'메인 화면에는 하단 네비게이션 바와 각 주요 콘텐츠(상점, 전투, 덱 등)로 이어지는 카드형 버튼을 만들어줘'"
"HomeView (메인 로비)","유저 상태 요약","현재 레벨, 보유 코인, 경험치 바, 프로필 아이콘 등 상단 헤더에 유저 정보 표시","'우측 상단에 Firebase Auth 정보와 연동된 유저의 재화(골드) 및 레벨을 표시해줘'"
"PlayGameView (전투 화면)","그리드형 보드","전투가 진행되는 3x3 매트릭스 그리드 보드 렌더링","'트리플 트라이어드 기반의 3x3 보드를 만들고, 빈 칸을 클릭하면 카드가 배치되게 해줘'"
"PlayGameView (전투 화면)","턴 기반 룰 및 카드 캡쳐","카드의 상하좌우 스탯을 기반으로 전투가 이뤄지는 코어 로직","'카드를 배치할 때 인접한 상대 카드의 스탯과 비교해 내 카드의 스탯이 더 크면 소유권을 내 것으로 변경하는 캡쳐 로직을 구현해줘'"
"PlayGameView (전투 화면)","실시간 전술 로그 (Tactical Log)","우측에 턴마다 어떤 캡쳐가 일어났는지 등 시스템 전투 로그를 실시간 출력","'우측 사이드바에 터미널 스타일의 애니메이션 로그 창을 만들고, 행동(누가 무엇을 캡쳐했는지)을 기록해줘'"
"PlayGameView (전투 화면)","상/하단 덱/스코어 표시","플레이어와 적의 현재 상태, 스코어(보드 장악 개수) 표시","'상단에는 적의 점수와 카드 수, 하단에는 플레이어의 점수를 중앙 정렬하여 보여주고 애니메이션 처리해줘'"
"MyDeckView (덱 관리)","소유 카드 인벤토리","가챠나 보상으로 획득한 카드들을 그리드로 보여주며, 희귀도별 이펙트 부여","'유저가 보유한 카드 리스트를 Grid 레이아웃으로 표시하고, 등급에 따라 테두리 색상과 홀로그램 이펙트를 줘'"
"MyDeckView (덱 관리)","출전 덱 편집 로직","전투에 들고 갈 카드를 선택하고 저장하는 로직","'보유 카드 중 최대 N장까지 선택해서 전투용 덱(Active Deck) 상태로 저장하는 기능을 만들어줘'"
"ShopView (상점/가챠)","카드 뽑기 시스템","게임 내 재화를 소모하여 무작위 카드를 획득하는 확률 기반 가챠 로직","'1회 뽑기, 10회 연속 뽑기 버튼을 만들고 확률표(일반 80%, 희귀 15%, 전설 5%)에 따라 카드가 인벤토리로 들어오게 해줘'"
"ShopView (상점/가챠)","가챠 연출(Animation)","카드가 뽑힐 때 뒷면이 보여지다가 뒤집히며 파티클 이펙트와 함께 오픈 연출","'Framer Motion을 활용해 카드가 팩에서 나와 뒤집히는 Flipping 애니메이션 연출을 만들어줘'"
"ProfileView (프로필)","전적 및 통계","총 승리, 패배수, 무승부 기트 통계수치 및 유저 정보 조회","'Firebase DB에서 유저의 승무패 기록을 불러와 UI에 요약 렌더링하고, 승률을 계산해줘'"
"RankingView (랭킹)","글로벌 리더보드","상위 플레이어 N명을 가져와 테이블 형태로 시각화","'유저들의 누적 승점을 기준으로 랭킹을 산정해 리스트를 구성하고, 1~3위 유저는 강조해줘'"
"SkillView (스킬)","스킬 트리 및 특성","경험치/재화로 언락 가능한 패시브(스탯 상승 등) 트리 시스템","'경험치를 소모해 해금할 수 있는 노드형 스킬 트리 UI를 만들고, 해금된 스킬은 게임 플레이 로직에 반영해줘'"
"CompanionView (동료)","시스템/보너스 AI 동료","플레이어에게 버프를 제공하거나 전투를 돕는 동료 캐릭터 선택 화면","'다양한 동료 캐릭터 일러스트를 스와이프 형태로 띄우고, 장착 시 특정 스탯 보너스를 제공하도록 구현해줘'"
"AdminView (관리자)","관리자 패널","모든 유저 데이터 조회, 카드 추가 및 게임 밸런스 조정 DB 컨트롤","'특정 UID를 가진 유저만 접근 가능한 어드민 대시보드를 만들고 카드 데이터를 CRUD 할 수 있게 해줘'"
"SettingView (설정)","환경설정 및 시스템 옵션","언어 변경, BGM/SFX 볼륨 조절, 다크모드 및 계정 로그아웃","'다국어(i18n) 설정, 배경음악 토글 및 Firebase 로그아웃 기능이 담긴 모달 기반 메뉴를 만들어줘'"
