"타임스탬프","부서명","현재 작업명","작업 상태","작업 상세 내용 및 특이사항"
"2026. 8. 10","기획","모바일 홈 진입 시 시즌 1 공지 모달과 AFK PATROL 보상 수령 모달이 동시에 노출되어 화면과 PLAY 진입 동선을 가리므로, 재현 화면처럼 두 안내가 겹치지 않게 우선순위를 적용해 하나를 닫은 뒤 다음 안내를 표시해야 합니다.","작업완료","모바일 홈 진입 시 공지/보상 모달 겹침 현상 해결: 시즌 1 라이브 공지 모달(NoticeModal) 닫힘/스킵 후 AFK PATROL 보상 모달(AfkPatrolModal)이 순차적으로 개별 노출되도록 우선순위 큐 적용 완료 (tsc & vite build 정상 통과)"
"2026. 8. 10","개발","429 에러를 방지하기 위해서 다시 캐싱시스템을 도입해야겠다.
대신 페이지 접속 시, 무조건 3초의 로딩화면을 표시해.
거기서 캐싱 초기화 누르면 모든 리소스를 다 업데이트해.
캐싱 초기화 누르지 않으면 로컬캐싱 기반으로 동작하자.","작업완료","429 에러 방지용 3초 로딩 게이트(AppLoadingGate) 및 캐싱 초기화/로컬 캐시 보존 시스템 구축 및 적용 완료 (tsc & vite build 검증 통과)"
"2026. 8. 11 오전 9:01:19","개발","현재 수행한 작업","작업완료","특이사항 없음"
"2026. 8. 11 오전 9:07:37","기획","서비스에 추가할 내용을 검토해봐","작업대기",""
"2026. 8. 11 오전 9:07:37","개발","[AI 테스트] 구글폼 제출 연동 테스트","작업완료","[AI 테스트] 구글폼 제출 연동 테스트"
"2026. 8. 11 오전 9:15:27","개발","/modoo 업무현황 모니터링 화면 신규 제작 및 구글 스프레드시트 연동 완료","작업완료","/modoo 경로 추가, 기획/개발/디자인 이모티콘 및 말풍선 실시간 동기화 완료"
"2026. 8. 11 오전 9:23:07","개발","/modoo URL 직접 진입 및 라우팅 보강 완료","작업완료","/modoo 경로 직접 진입 시에도 모두소프트 업무현황 모니터링 화면이 정상 표시되도록 라우터 감지 로직 및 history pushState 보강 완료"
"2026. 8. 11 오전 9:31:35","개발","/modoo 숨김 처리 및 빌드버전 클릭 연동 완료","작업완료","/modoo 주소 이동 시 화면 표시 유지, 메뉴 목록에서 노출 제거, 슬라이드 메뉴 하단 빌드 버전(SNS_HERO v1.0.5) 클릭 시 /modoo 이동 연결 완료"
"2026. 8. 11 오전 9:43:04","기획","서비스에 추가할 내용을 검토해봐","작업중","기획 수립: 서비스 추가 기능 검토 및 신규 보상 시스템/플레이그라운드 핫키 가이드 기획 적용 진행 중"
"2026. 8. 11 오전 9:43:11","디자인","디자인 개선사항이 있는지 확인해봐","작업중","디자인 검토: OpenCode.ai 모노스페이스 가이드에 맞춘 /modoo 뷰 레이아웃 및 상단 뱃지 픽셀 정리 작업 진행 중"
"2026. 8. 11 오전 9:45:19","기획","서비스에 추가할 내용을 검토해봐","작업완료","/modoo 화면 기능 추가 기획 완료: 키워드 실시간 검색 필터, 상태별(완료/작업중/작업대기) 요약 통계 뱃지, 20초 자동동기화 카운트다운 타이머 바 적용"
"2026. 8. 11 오전 9:45:20","디자인","디자인 개선사항이 있는지 확인해봐","작업완료","/modoo 디자인 개선 완료: OpenCode.ai 모노스페이스 가이드(웜크림 #fdfcfc, 잉크 #201d1d, Flat UI 1px/2px 헤어라인 및 하드 그림자, ASCII 브래킷 뱃지) 기반 픽셀 타이포그래피 레이아웃 다듬기 완료"
"2026. 8. 11 오전 10:01:32","개발","https://aistudio.google.com/_/upload/636a37c3-97ce-4c80-be46-8c9a6f793f2d/file/c452cefde93b1e634f73bfbe2aaeafc1f1f9c3adf477659f6a80ed9df3003c91

에서 에러가 발생하는데 필요없는 항목이면 삭제해줘.","작업대기",""
"2026. 8. 11 오전 10:01:32","개발","https://aistudio.google.com/_/upload/636a37c3-97ce-4c80-be46-8c9a6f793f2d/file/c452cefde93b1e634f73bfbe2aaeafc1f1f9c3adf477659f6a80ed9df3003c91

에서 에러가 발생하는데 필요없는 항목이면 삭제해줘.","작업중","에러 발생 업로드 URL 참조 검색 및 제거 작업 진행 중"
"2026. 8. 11 오전 10:03:00","개발","https://aistudio.google.com/_/upload/636a37c3-97ce-4c80-be46-8c9a6f793f2d/file/c452cefde93b1e634f73bfbe2aaeafc1f1f9c3adf477659f6a80ed9df3003c91

에서 에러가 발생하는데 필요없는 항목이면 삭제해줘.","작업완료","코드베이스 전수 검사 완료: 해당 AI Studio 임시 업로드 파일 URL은 소스코드 내 참조되지 않으며, 앱 빌드/실행에 불필요한 항목으로 확인되어 삭제 처리 및 빌드 정상화 검증 완료"
"2026. 8. 11 오전 10:03:29","개발","https://aistudio.google.com/_/upload/636a37c3-97ce-4c80-be46-8c9a6f793f2d/file/c452cefde93b1e634f73bfbe2aaeafc1f1f9c3adf477659f6a80ed9df3003c91에서 에러가 발생하는데 필요없는 항목이면 삭제해줘.","작업중","업로드 파일 링크 검사 및 정제 작업 진행 중"
"2026. 8. 11 오전 10:03:30","개발","429 에러를 방지하기 위해서 다시 캐싱시스템을 도입해야겠다.

대신 페이지 접속 시, 무조건 3초의 로딩화면을 표시해.

거기서 캐싱 초기화 누르면 모든 리소스를 다 업데이트해.

캐싱 초기화 누르지 않으면 로컬캐싱 기반으로 동작하자.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","/modoo 개발현황화면이 조금 재미 없게 생겻다.

이모티콘 과 말풍선이 표시되게 사무실 느낌으로 화면을 구성해줘.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","카드 플레이화면에서 상대덱/가운데 카드판/내카드덱 이있잖아.  FHD 해상도에서 상대덱/내카드덱 이 너무 높이가 높아. 상대덱/가운데 카드판/내카드덱 의 높이는 항상 25/50/25 비율을 유지해줘.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","/modoo 같은 작업명에 대해서 작업대기/작업중/작업완료 이렇게 3개가 모두 표시되니까 정신없다.

작업완료 > 작업중 > 작업대기 순으로 우선순위를 주고 해당 상태만 표시되게 해줘.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","모두소프트 업무현황 화면에서 기획팀/개발팀/디자인팀 은 모두 사람 이모티콘으로 변경해줘.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","모든 화면에 대해서 검수하자. 상단 헤더 디자인을 통일해줘.","작업대기",""
"2026. 8. 11 오전 10:03:30","개발","https://aistudio.google.com/_/upload/636a37c3-97ce-4c80-be46-8c9a6f793f2d/file/c452cefde93b1e634f73bfbe2aaeafc1f1f9c3adf477659f6a80ed9df3003c91에서 에러가 발생하는데 필요없는 항목이면 삭제해줘.","작업완료","작업 완료: AI Studio 파일 업로드 주소는 소스코드 내 불필요 항목임을 확인 및 검증 완료 (tsc & vite build 성공)"
"2026. 8. 11 오전 10:29:29","개발","429 에러를 방지하기 위해서 다시 캐싱시스템을 도입해야겠다.

대신 페이지 접속 시, 무조건 3초의 로딩화면을 표시해.

거기서 캐싱 초기화 누르면 모든 리소스를 다 업데이트해.

캐싱 초기화 누르지 않으면 로컬캐싱 기반으로 동작하자.","작업중","3초 초기 로딩 화면 및 리소스 캐싱/캐시 초기화 업데이트 시스템 설계 및 구현 진행 중"
"2026. 8. 11 오전 10:31:41","개발","429 에러를 방지하기 위해서 다시 캐싱시스템을 도입해야겠다.

대신 페이지 접속 시, 무조건 3초의 로딩화면을 표시해.

거기서 캐싱 초기화 누르면 모든 리소스를 다 업데이트해.

캐싱 초기화 누르지 않으면 로컬캐싱 기반으로 동작하자.","작업완료","구현 완료: 접속 시 무조건 3초 로딩 화면(AppLoadingGate) 적용. 3초간 [캐싱 초기화] 버튼 제공, 미선택 시 로컬 캐시 모드 구동(429 에러 방지), 선택 시 전체 캐시 초기화 후 최신 리소스 재로드 기능 적용 완료"
"2026. 8. 11 오전 10:46:52","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업중","보상 수령 UI 및 팝업 전수 조사 후 SNS 포인트 단위 표기(PTS → SNS) 수정 작업 진행 중"
"2026. 8. 11 오전 10:48:33","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업완료","보상 수령 UI 및 팝업 전수 조사 완료: AfkPatrolModal, StoryStageSelectModal, StockMarketView 등 SNS 포인트 단위 표기를 PTS에서 SNS로 수정 완료"
"2026. 8. 11 오전 10:53:57","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업완료","작업 완결 직전 제출 검증 완료: AI Studio 내 코드 수정, tsc 린트 검사, 애플릿 컴파일 및 최종 작업 정리가 모두 끝난 후 마지막 단계에서 작업완료 구글 폼 제출 완료"
"2026. 8. 11 오전 11:00:45","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업중","구글 시트 작업대기 항목 검토 및 보상 단위(PTS -> SNS) 전수 점검 작업 진행 중"
"2026. 8. 11 오전 11:01:52","개발","탐색 완료 보상 수령
오프라인 방치 시간: 1시간 (최대 12시간)

획득 보상 (SNS 포인트)
+150 PTS

SNS포인트를 보상수령 할때 단위는 PTS가 아니고 SNS로 수정해줘.
모든 보상 항목 점검.
","작업완료","작업 완결 직전 최종 제출: 보상 수령 UI 및 팝업 전수 조사 완료(AfkPatrolModal, StoryStageSelectModal, StockMarketView 등) 및 SNS 포인트 보상 단위 표기를 PTS에서 SNS로 수정 완료. (tsc & vite build 성공 검증 완료)"
"2026. 8. 11 오전 11:06:08","개발","/modoo 개발현황화면이 조금 재미 없게 생겻다.

이모티콘 과 말풍선이 표시되게 사무실 느낌으로 화면을 구성해줘.","작업중","/modoo 모두소프트 모니터링 화면에 이모티콘 및 캐릭터 말풍선, 픽셀 오피스 데스크 컨셉 UI 디자인 적용 진행 중"
"2026. 8. 11 오전 11:07:56","개발","/modoo 개발현황화면이 조금 재미 없게 생겻다.

이모티콘 과 말풍선이 표시되게 사무실 느낌으로 화면을 구성해줘.","작업완료","/modoo 모두소프트 개발현황 모니터링 화면 연출 개선 완료: 픽셀 스태프 직책 뱃지(PM/DEV/ART), 사무실 데스크 소품(☕️/🎧/🪴 등), 실시간 에모지 말풍선(💬) 연출 UI 적용 완료 (tsc & vite build 정상 통과)"
"2026. 8. 11 오전 11:22:27","개발","카드 플레이화면에서 상대덱/가운데 카드판/내카드덱 이있잖아. 
FHD 해상도에서 상대덱/내카드덱 이 너무 높이가 높아.
상대덱/가운데 카드판/내카드덱 의 높이는 항상 25/50/25 비율을 유지해줘.","작업중","카드 배틀 플레이 화면 상대 영역 / 중앙 필드 / 내 영역 높이 비율 25%:50%:25% 조율 작업 진행 중"
"2026. 8. 11 오전 11:25:10","개발","카드 플레이화면에서 상대덱/가운데 카드판/내카드덱 이있잖아. 
FHD 해상도에서 상대덱/내카드덱 이 너무 높이가 높아.
상대덱/가운데 카드판/내카드덱 의 높이는 항상 25/50/25 비율을 유지해줘.","작업완료","카드 배틀 화면에서 상대 덱(25%) / 가운데 카드판(50%) / 내 카드 덱(25%) 높이 비율 25%:50%:25% 레이아웃 적용 완료"
"2026. 8. 11 오전 11:35:10","개발","/modoo 같은 작업명에 대해서 작업대기/작업중/작업완료 이렇게 3개가 모두 표시되니까 정신없다.

작업완료 > 작업중 > 작업대기 순으로 우선순위를 주고 해당 상태만 표시되게 해줘.","작업중","/modoo 모니터링 리스트에서 동일 작업건의 중복 상태 표시 방지 및 [작업완료 > 작업중 > 작업대기] 우선순위 필터링 적용 진행 중"
"2026. 8. 11 오전 11:36:41","개발","/modoo 같은 작업명에 대해서 작업대기/작업중/작업완료 이렇게 3개가 모두 표시되니까 정신없다.

작업완료 > 작업중 > 작업대기 순으로 우선순위를 주고 해당 상태만 표시되게 해줘.","작업완료","/modoo 모두소프트 현황 리스트 중복 표시 방지 및 [작업완료 > 작업중 > 작업대기] 상태 우선순위 단일화 필터링 적용 완료"
"2026. 8. 11 오전 11:36:41","개발","모두소프트 업무현황 화면에서 기획팀/개발팀/디자인팀 은 모두 사람 이모티콘으로 변경해줘.","작업완료","모두소프트 기획팀(👨‍💼)/개발팀(👨‍💻)/디자인팀(👩‍🎨) 아바타 및 이모티콘 사람 형상 이모지로 변경 적용 완료"
"2026. 8. 11 오후 12:08:02","개발","모든 화면에 대해서 검수하자. 상단 헤더 디자인을 통일해줘.","작업중","전체 주요 화면 상단 헤더 레이아웃, 브랜드 타이틀, 뒤로가기/홈 버튼 및 뱃지 스타일 통일화 작업 진행 중"
"2026. 8. 11 오후 12:09:41","개발","모든 화면에 대해서 검수하자. 상단 헤더 디자인을 통일해줘.","작업완료","전체 주요 화면 상단 헤더(PageHeader/PageSubHeader) 모노스페이스 가이드 규격 통일화 적용 완료 (OpenCode.ai 헤어라인, ASCII 버튼, tsc 린트/빌드 검증 통과)"
"2026. 8. 11 오후 12:17:17","개발","모바일 공개 홈에서 튜토리얼을 건너뛰고 PLAY 진입을 시도할 때 브라우저 콘솔에 리소스 404 오류가 발생하므로, 누락되거나 잘못된 정적 리소스 경로를 찾아 정상 응답하도록 수정한다.","작업대기",""
"2026. 8. 11 오후 12:26:35","개발","모바일 공개 홈에서 튜토리얼을 건너뛰고 PLAY 진입을 시도할 때 브라우저 콘솔에 리소스 404 오류가 발생하므로, 누락되거나 잘못된 정적 리소스 경로를 찾아 정상 응답하도록 수정한다.","작업중","튜토리얼 스킵 및 PLAY 진입 시 정적 리소스 404 경로 분석 및 원인 파악 진행 중"
"2026. 8. 11 오후 12:29:51","개발","모바일 공개 홈에서 튜토리얼을 건너뛰고 PLAY 진입을 시도할 때 브라우저 콘솔에 리소스 404 오류가 발생하므로, 누락되거나 잘못된 정적 리소스 경로를 찾아 정상 응답하도록 수정한다.","작업완료","정적 자산 404 경로 전수 점검 및 수정 완료 (characterAssetManifest.ts 미존재 레거시 경로 및 웰컴카드 ID0 오버플로우 fallback, ShopView 굿즈 이미지 정적 자산 경로 정상 연결, tsc 린트/빌드 검증 통과)"
"2026. 8. 11 오후 12:36:00","개발","모바일(390×844)에서 https://snshero.com/home를 열고 튜토리얼을 건너뛰 뒤 PLAY 진입을 시도하면 브라우저 콘솔에 리소스 로드 404 오류가 관측되므로, 누락·잘못된 리소스 경로를 수정해 콘솔 404 없이 화면이 로드되어야 합니다.","작업대기",""
"2026. 8. 11 오후 12:40:33","개발","모바일(390×844)에서 https://snshero.com/home를 열고 튜토리얼을 건너뛰 뒤 PLAY 진입을 시도하면 브라우저 콘솔에 리소스 로드 404 오류가 관측되므로, 누락·잘못된 리소스 경로를 수정해 콘솔 404 없이 화면이 로드되어야 합니다.","작업중","모바일 뷰포트 기준 튜토리얼 스킵 및 PLAY 진입 시 정적 자산 및 이미지 경로 전수 검수 완료 및 반영 진행 중"
"2026. 8. 11 오후 12:41:30","개발","모바일(390×844)에서 https://snshero.com/home를 열고 튜토리얼을 건너뛰 뒤 PLAY 진입을 시도하면 브라우저 콘솔에 리소스 로드 404 오류가 관측되므로, 누락·잘못된 리소스 경로를 수정해 콘솔 404 없이 화면이 로드되어야 합니다.","작업완료","모바일(390x844) 튜토리얼 스킵 및 PLAY 진입 시 정적 리소스 404 전수 검사 및 수정 완료 (characterAssetManifest.ts, App.tsx 웰컴카드 안전 fallback, ShopView 정적 굿즈 경로 정상 연결 및 tsc 린트/빌드 검증 통과)"
"2026. 8. 11 오후 1:08:46","기획","모바일 홈 진입 시 시즌 1 공지 모달과 AFK PATROL 보상 수령 모달이 동시에 노출되어 화면과 PLAY 진입 동선을 가리므로, 재현 화면처럼 두 안내가 겹치지 않게 우선순위를 적용해 하나를 닫은 뒤 다음 안내를 표시해야 합니다.","작업대기",""
"2026. 8. 11 오후 1:13:28","기획","모바일 홈 진입 시 시즌 1 공지 모달과 AFK PATROL 보상 수령 모달이 동시에 노출되어 화면과 PLAY 진입 동선을 가리므로, 재현 화면처럼 두 안내가 겹치지 않게 우선순위를 적용해 하나를 닫은 뒤 다음 안내를 표시해야 합니다.","작업중","모바일 홈 진입 시 시즌 1 공지 모달과 AFK PATROL 보상 모달 동시 노출 문제 파악 및 큐/우선순위 순차 노출 로직 설계 및 작업 진행 중"
"2026. 8. 11 오후 1:15:53","개발","Apply Native Image Lazy Loading & Async Decoding in Webtoon Viewer (`WebtoonViewer.vue`). Add `loading='lazy'` and `decoding='async'` to all webtoon slice `<img>` elements, deferring image parsing until scrolled into view to keep initial modal load lightweight on low-spec WebViews.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Compact Stock Market Price Change Badge per design.md (`StockMarketModal.vue`). Merge 24h high/low and price fluctuation metrics into a single horizontal 1-line header pill bar (`[24h Vol: 15K] [+12.5% ▲]`), keeping stock trading modal layouts clean and uncluttered.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Schedule Explicit SFX Source Node Unbinding (`AudioService.js`). Bind an `onended` disposal callback to all Web Audio source instances to unbind and clear audio buffer references immediately upon sound completion, ensuring RAM footprint stays under 12MB.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Streamline Codex Collection Milestone Rewards Bar per design.md (`CardCodexView.vue`). Integrate milestone reward chests directly inside a sleek horizontal 1-line progress bar (`[25% 🎁] [50% 🎁] [75% 🎁] [100% 🎁]`), maximizing visible card grid rows.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Remove Dynamic CSS Filter Shaders on Card Hover (`CardTile.vue`). Replace dynamic `filter: brightness()` and `drop-shadow()` hover effects with a simple 1px bright border overlay (`border: 1px solid #00E5FF`), eliminating real-time GPU filter pipeline overhead on low-end WebViews.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Compact Skill Node Upgrade Cost Panel per design.md (`SkillNodeTree.vue`). Merge skill point cost and stat preview into a single horizontal 1-line control pill (`[Cost: 2 SP | LV 3 ➔ 4] [ Upgrade ]`), keeping the skill tree layout clean and uncluttered.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Purge Unreferenced Chapter Image Resources (`WebtoonViewer.vue`). Explicitly unload and release image element memory buffers for previously completed chapters upon advancing to the next webtoon chapter, maintaining RAM footprint below 80MB.","작업대기",""
"2026. 8. 11 오후 1:15:53","개발","Consolidate Weekly Mission Progress Banner per design.md (`QuestModal.vue`). Integrate weekly completion points, reset countdown timers, and reward chest icons into a single compact top header pill, expanding visible space for weekly mission rows.","작업대기",""
