게임명,게임유형,게임간단한소개,게임플레이링크
Slime Keyboard Escape,"스킬 게임, 플랫폼 게임","Slime Keyboard Escape는 끈적한 슬라임으로 뒤덮인 거대 키 위를 점프하는 플랫폼 게임입니다. 속도를 높이고, 위험을 피하며, 모든 스테이지를 넘어 결승선에 도달하세요.",https://poki.com/kr/g/slime-keyboard-escape
Hide and Paint,"액션 게임, 어드벤쳐 게임",Hide and Paint는 숨바꼭질을 완전히 새로운 차원으로 끌어올린 멀티플레이어 게임입니다. 숨을 곳을 찾아 주변 환경에 녹아들도록 페인트칠해서 사냥꾼이 당신을 찾기 어렵게 만드세요.,https://poki.com/kr/g/hide-and-paint
MineFun.io,"액션 게임, 어드벤쳐 게임","Minefun.io는 블록형 세계에서 즐기는 멀티 어드벤처 게임! 나만의 캐릭터를 만들고, 9가지 맵에서 신나는 obby 챌린지, 좀비 생존 등 다양한 모드를 다른 유저들과 함께 플레이하세요!",https://poki.com/kr/g/minefun-io
Paper.io 2,"액션 게임, 전략 게임","Paper.io 2는 맵에 고리를 그려 원하는 색으로 채워 영토를 차지하는 io 게임입니다. 최대한 넓은 지역을 탐험하고, 상대방이 당신의 영역을 침범하기 전에 먼저 차단하세요.",https://poki.com/kr/g/paperio-2
Level Devil,"액션 게임, 어드벤쳐 게임","Level Devil은 얄미운 함정 투성이인 플랫포머 게임입니다. 레벨 끝까지 가면 되지만, 방심하는 순간 끔살 트랩이 기다립니다!",https://poki.com/kr/g/level-devil
Snake vs Worms,"뱀 게임, 동물 게임","Snake vs Worms는 피자, 도넛 먹방으로 덩치를 키우는 아가류 io 게임! 배틀로얄, 아레나 등에서 거구를 피해 약자를 처치하세요!",https://poki.com/kr/g/snake-vs-worms
Vectaria.io,"어드벤쳐 게임, 블록 게임","Vectaria.io는 마인크래프트풍 멀티플레이 게임입니다! 블록 스타일로 자원 채집, 건설, 아이템 제작을 즐겨보세요. PvP에서 격렬하게 싸우거나, 창작 모드에서 상상력을 펼쳐보세요!",https://poki.com/kr/g/vectaria-io
Cryzen.io,"액션 게임, 전쟁 게임","멀티플레이어 FPS 매치에 뛰어들어 다양한 맵과 경쟁 모드에서 다른 플레이어와 전투하세요. 나만의 로드아웃을 선택하고, 조준점을 적에게 고정한 뒤, 맵을 활용해 최후의 생존자가 되세요!",https://poki.com/kr/g/cryzen-io
Blocky Blast Puzzle,"두뇌 게임, 스킬 게임",Blocky Blast Puzzle은 다양한 블록으로 판을 채워 없애는 퍼즐 게임입니다. 가로/세로 한 줄을 꽉 채우면 블록이 사라져 더 많은 블록을 놓을 공간이 생깁니다!,https://poki.com/kr/g/blocky-blast-puzzle
Ragdoll Chaos,"액션 게임, 랙돌 게임",Ragdoll Chaos: 실험을 물리적 혼돈으로! 미친 과학자가 되어 기발한 장치와 래그돌 봇으로 상호작용하는 실험실에서 예측 불가능한 샌드박스 혼돈을 일으키세요.,https://poki.com/kr/g/ragdoll-chaos
Rainbow Obby,"액션 게임, 어드벤쳐 게임",Rainbow Obby는 꿀잼 멀티 플랫폼 게임! 다양한 모드에서 거대한 장애물 코스를 질주하세요. 방해꾼 유저들 때문에 빡종할 수도?!,https://poki.com/kr/g/rainbow-obby
My Perfect Hotel,"장식 게임, 마우스 게임","My Perfect Hotel은 호텔을 직접 운영하는 시뮬레이션 게임입니다. 투숙객 체크인, 객실 청소부터 시작해 호텔을 확장하세요! 객실과 주차장을 늘려 더 많은 손님을 맞이할 수 있습니다.",https://poki.com/kr/g/my-perfect-hotel
Talking Tom Gold Run,"어드벤쳐 게임, 스킬 게임",토킹톰 골드런은 끝없는 달리기 게임이에요! 톰과 친구들을 조종해서 로이 라쿤을 쫓아가 도둑맞은 금괴를 되찾으세요. 골드를 모으면서 차와 다른 장애물들을 피해야 해요!,https://poki.com/kr/g/talking-tom-gold-run
Monkey Tag IO,"액션 게임, 동물 게임","Monkey Tag IO는 블록형 경기장을 스윙하며 누비는 멀티플레이 시뮬레이션 게임입니다. 플랫폼을 가로질러 달리고, 점프하고, 오르며 다른 원숭이들을 쫓으세요. 빠르게 움직여 감염된 플레이어를 피하고 혼돈의 놀이터에서 살아남으세요.",https://poki.com/kr/g/monkey-tag-io
Stickman Battle,"액션 게임, 랙돌 게임","Stickman Battle은 도끼, 총 등으로 무장하고 함정 가득한 아레나에서 솔플, 친구 대전, 온라인 랭킹전을 즐기는 격투 게임입니다!",https://poki.com/kr/g/stickman-battle
Decor Life,"방치 게임, 아늑한 게임",Decor Life는 방을 처음부터 꾸미는 장식 게임입니다. 아름다운 가구와 귀여운 소품으로 어수선한 공간을 꿈의 집으로 바꿔보세요.,https://poki.com/kr/g/decor-life
Neon Challenge Legends,"스킬 게임, 마우스 게임",Neon Challenge Legends는 빛나는 미로 트랙을 질주하는 실력 게임입니다. 위험을 피해 네온 아바타로 결승선에 도달하며 순발력을 시험하세요.,https://poki.com/kr/g/neon-challenge-legends
Plonky,"스킬 게임, 크리스마스 게임","Plonky는 위험한 함정으로 가득한 플랫포머 게임! 주인공 Plonky를 조종해서 톱날, 폭탄을 피하고, 절벽을 오르내리며, 가시밭을 점프하고, 밧줄 액션으로 레벨 클리어에 도전하세요!",https://poki.com/kr/g/plonky
Backrooms Recovery,"액션 게임, 어드벤쳐 게임","backrooms Recovery는 기묘한 시설의 섬뜩한 노란 복도에서 펼쳐지는 어드벤처 게임입니다. 단서를 찾고, 부족한 자원을 관리하며, 그림자 속 섬뜩한 존재들을 피해 탈출구를 찾으세요.",https://poki.com/kr/g/backrooms-recovery
