id,index,category,type,level,title,title_en,delete,top,left,bottom,right,updated,power,title_dis
1,1,1,1,1,물조각,Water1,0,1,5,1,4,2013-06-29 14:22:54,11,Water fragments
2,12,1,1,2,물정령,Water2,0,7,1,3,1,2013-06-29 14:22:54,12,Water spirit
3,23,1,1,3,상위물정령,Water3,0,6,2,3,6,2013-08-09 7:05:30,17,High Water Spirit
4,34,2,1,4,물소환수,Water4,0,2,7,6,3,2013-08-09 7:35:22,18,Water summoner
5,45,2,1,5,물군주,Water5,0,6,5,6,5,2013-08-09 7:49:39,22,Water Monarch
6,56,3,2,6,물대군주,Water6,0,2,4,8,8,2013-08-09 8:00:03,22,Water Lord
7,67,4,2,7,물가오리,Water7,0,8,8,4,4,2013-08-09 8:54:17,24,water ray
8,78,4,2,8,폭포대왕,Water8,0,4,9,8,4,2013-08-10 3:19:06,25,King of Waterfalls
9,89,5,3,9,옥타퍼스,Water9,0,8,4,10,4,2013-08-10 13:14:31,26,Octopus
10,100,5,3,10,포세이돈,Water10,0,10,8,2,7,2013-08-10 13:23:06,27,Poseidon
11,2,1,1,1,불조각,Fire1,0,5,3,1,1,2013-06-29 14:22:54,10,fire fragments
12,13,1,1,2,불정령,Fire2,0,6,3,2,2,2013-06-29 14:22:54,13,fire spirit
13,24,1,1,3,불상위정령,Fire3,0,6,6,1,3,2013-08-09 7:05:39,16,Buddha statue spirit
14,35,2,1,4,불소환수,Fire4,0,6,5,4,5,2013-08-09 7:38:35,20,Fluoride
15,46,2,1,5,불군주,Fire5,0,3,7,5,6,2013-08-09 7:50:25,21,Burning Monarch
16,57,3,2,6,불대군주,Fire6,0,7,4,3,8,2013-08-09 8:29:12,22,Fire Lord
17,68,4,2,7,불탄,Fire7,0,8,4,4,8,2013-08-09 8:54:27,24,burnt
18,79,4,2,8,불사신,Fire8,0,9,3,7,6,2013-08-10 3:24:12,25,immortal
19,90,5,3,9,불사조,Fire9,0,5,3,8,10,2013-08-10 13:15:44,26,Phoenix
20,101,5,3,10,이그니시우스,Fire10,0,6,10,6,7,2013-08-10 13:23:40,29,Ignisius
21,3,1,1,1,바람조각,Wind1,0,1,5,3,3,2013-06-29 14:22:54,12,Wind fragments
22,14,1,1,2,바람정령,Wind2,0,5,4,3,3,2013-06-29 14:22:54,15,Wind spirit
23,25,1,1,3,바람상위정령,Wind3,0,3,5,5,5,2013-08-09 7:05:58,18,Wind High Spirit
24,36,2,1,4,바람소환수,Wind4,0,4,7,2,6,2013-08-09 7:38:43,19,Wind Summoner
25,47,2,1,5,바람군주,Wind5,0,7,3,5,6,2013-08-09 7:51:02,21,Wind Monarch
26,58,3,2,6,바람대군주,Wind6,0,4,3,7,8,2013-08-09 8:29:52,22,Grand Lord of the Wind
27,69,4,2,7,강풍,Wind7,0,8,8,2,5,2013-08-09 8:55:49,23,gale
28,80,4,2,8,썬더퓨리,Wind8,0,3,6,9,7,2013-08-10 3:26:00,25,Thunderfury
29,91,5,3,9,썬더스톰,Wind9,0,7,7,1,10,2013-08-10 13:16:20,25,Thunderstorm
30,102,5,3,10,바람신 토르,Wind10,0,5,9,3,10,2013-08-10 13:24:01,27,"Thor, the god of wind"
31,4,1,1,1,대지조각,Land1,0,6,2,1,1,2013-06-29 14:22:54,10,Earth sculpture
