ID,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위
1,승리 화면 로컬라이제이션 키 노출,"현상: 승리 연출 후 ""승리! 스토리 진행도가 갱신되었습니다. webtoon_ep_01_title"" 텍스트가 표시됨. 번역 키(webtoon_ep_01_title)가 로컬라이징되지 않고 그대로 노출됨.",Review the Victory Screen UI component in our Next.js/React game. Find the text label rendering the story progression after a match victory. Ensure that the raw database translation key `webtoon_ep_01_title` is correctly mapped through the localization framework (i18n) to display the dynamic local episode title instead of rendering the raw key string. Add a fallback default string like 'Episode 1' if the key resolution fails.,높음
2,승리 화면 POWER_BALANCE 지표 혼선,"현상: Match Analysis 화면에서 ""POWER_BALANCE: 54 VS 4100""으로 표시됨. 6대3 승리 경기에서 54 대 4100이라는 수치는 유저에게 심각한 혼란을 제공함.","Review the `MatchAnalysis` component calculation logic. Currently, the `POWER_BALANCE` shows disproportionate figures like `54 VS 4100`. Standardize this widget to show normalized battle metrics. Either compare the actual sum of numerical values played during that specific round (e.g., 'Combat Power: 24 vs 18') or clearly label the 54 as 'Your Deck TP' and 4100 as 'Opponent AI Level' to eliminate player confusion.",중간
3,주식 시장(Stock Market) 모달 내 통화 단위 표기 불일치,"현상: 캐릭터 주식 거래 모달에서 보유 잔액은 `SUI 0`으로 표시되지만, 매수 단위 가격은 `211,321 SNS`로 표시됨.","Refactor the character stock market modal component in the UI. The current modal displays the user's balance in `SUI` but displays item purchase prices in `SNS`. If SUI is the gas/governance token and SNS is the utility/in-game token, update the layout to show BOTH balances clearly (`SUI: 0 | SNS: 3,300`). Additionally, add a clear sub-label below the transaction price clarifying any auto-swap conversion rates if applicable.",중간
4,그리드 슬롯 타일(지형/보너스 모디파이어) 툴팁 및 가이드 부족,"현상: 3x3 카드 그리드 내 해골, 산 등 지형 모디파이어 아이콘이 배치되어 있으나, 해당 슬롯의 효과 및 수치 영향에 대한 설명/툴팁이 없음.","Create a lightweight, responsive tooltip component for the 3x3 Triple Triad game grid. When a player hovers or long-presses on slot modifier icons (such as the Mountain icon or Skull icon), render a sleek overlay explaining its active modifier (e.g., 'Earth element cards gain +2 defense on this slot'). Ensure the tooltip automatically repositions itself so it never overlaps the main board borders.",높음
5,카드 업그레이드 정렬(Sorting) 필터 작동 오류,"현상: 카드 업그레이드 화면에서 ID, LV, POW, RAR, STATS, NAME 정렬 버튼 클릭 시 화살표 아이콘만 변경되고 목록이 실제로 정렬되지 않음.","Fix the sorting filter state handler in CardUpgrade.vue. Ensure that when a user clicks the ID, LV, POW, RAR, STATS, or NAME sorting buttons, it triggers a reactive sort method on the local card inventory list (e.g., sorting by level or power value descending/ascending) and correctly triggers a re-render of the list UI.",높음
6,스킬 업그레이드 화면 내 대상 카드 정보 부재,"현상: 특정 카드를 선택해 스킬 강화 화면(/skill)으로 이동하면, 대상 카드의 이름, 썸네일, 속성 등의 요약 정보가 상단에 전혀 표기되지 않아 유저 컨텍스트 상실.","Modify the Skill Upgrade view (/skill) to accept a route parameter for the selected card ID. Fetch the card's metadata and render a card summary banner at the top of the Skill page showing the card's name, element icon, and thumbnail illustration so players have context of which card they are upgrading.",중간
7,스킬 업그레이드 뒤로가기 라우팅 경로 오류,현상: 스킬 강화 페이지의 뒤로가기(←) 버튼 클릭 시 직전 목록(/deck/upgrade)이 아닌 메인 덱 관리 화면(/deck)으로 이탈함.,"Refactor the back button action on the Skill view so that it navigates back to the previous routing history state (i.e., /deck/upgrade) instead of hardcoding a redirect to /deck.",중간
8,스킬 업그레이드 도움말 모달 번역 키 노출 버그,"현상: 스킬 강화 페이지의 도움말(?) 모달 내부 슬라이드 텍스트에 skill_help_upgrade, skill_help_upgrade_desc 등 raw i18n key가 그대로 노출됨.","Identify why localization is failing on the Skill view help modal. Ensure that the text strings in the slider utilize the i18n translation helper (e.g., $t('skill_help_upgrade')) and verify that these keys are defined in the localized JSON files (ko.json, en.json).",높음
9,데스크톱 해상도 좌측 광고/상품 레이아웃 오버랩 현상,현상: 데스크톱 화면에서 뷰포트를 줄일 경우 좌측 상점/광고 배너 영역이 중앙 메인 게임 모바일 컨테이너 위로 겹쳐서 일부 UI를 가림.,"Optimize CSS breakpoints for the global mobile container layout. Prevent the left-aligned ad block from overlapping the main UI container on smaller desktop viewports, and implement sticky centering for the main viewport frame.",낮음
10,스토리 스테이지 선택 화면 난이도 및 보상 정보 부재,"현상: 스토리 모드 스테이지 선택 시 권장 전투력(Recommended TP), 상대 주요 속성, 획득 가능 드롭 보상 정보가 사전 표기되지 않아 난이도 가늠이 어려움.","Update the Episode Selection modal/card view component. Add a summary info panel for each stage displaying Recommended Deck Power (TP), Opponent's Primary Element Attribute, and Expected Rewards (e.g., Gold, SNS Tokens, Card Shards) before the player clicks the Start Match button.",중간
11,카드 팩 구매 후 개봉 연출(Card Pack FX) 연출 생략,현상: 상점에서 카드 팩 구매 시 개봉 애니메이션 없이 결과 목록 팝업만 즉시 표시되어 TCG 수집 요소의 개봉 경험 및 희귀도 연출 감흥이 반감됨.,"Create an interactive Card Pack Opening animation component (`CardPackOpeningModal.vue`). When a card pack item is purchased, play a 2-second pack tearing/glow effect animation before revealing the acquired cards sequentially with rarity-based light/particle effects (SSR/SR highlights).",중간
12,"전투 중 AI 전술 버튼('공격형', '방어형', '밸런스') 선택 피드백 및 효과 안내 부족","현상: 전투 중 전술 변경 시 활성화 상태 아이콘/테두리가 불명확하고, 전술 변경이 AI 추천 로직에 미치는 수치적 영향을 유저가 알 수 없음.","Enhance the Battle Tactics Selection Component. When a player toggles between '공격형', '방어형', and '밸런스', add a prominent glowing active border to the selected state button and render a short status badge/tooltip (e.g., '공격형: 상대 카드 캡처 가능 슬롯 우선 추천') above the active button.",높음
13,주식 거래 확정 모달 내 거래 수수료 및 최종 정산액 내역 부재,현상: 캐릭터 주식 매수/매도 진행 시 최종 확인 팝업에서 거래 수수료 및 정산 상세 내역 없이 단가만 노출되어 거래 후 잔액 차이에 대한 혼선 발생.,"Refactor the Stock Market Transaction Confirmation Modal. Include explicit itemization breakdown: Base Price x Quantity, Estimated Gas/Trading Fee, and Final Expected Total Cost/Payout before the user confirms the transaction.",중간
14,일일 퀘스트/업적 '일괄 수령' 기능 부재 및 수령 피드백 미흡,"완료된 퀘스트 보상이 여러 개일 때 개별 수령만 가능하여 클릭 피로가 높고, 수령 시 상단 재화 카운터 상승 애니메이션이 미흡함.","Add a 'Claim All' (일괄 수령) button to the Quests & Achievements view. When clicked, aggregate all completed, unclaimed quest rewards, execute a batch reward claim API call, update user balances in state, and trigger a floating currency gain animation (+100 SNS) above the header bar.",중간
